English,Reference,marian_translation,mbart_translation,mt5_translation
"Cameron Doerksen, an analyst with National Bank Financial, lowered his rating to ""sector perform"" from ""outperform"" on Thursday with the view that the stock has limited upside over the next one or two quarters.","कैमरून डोरसेन, नेशनल बैंक फाइनेंशियल के साथ एक विश्लेषक शेयर ने गुरुवार को ""मात"" से ""क्षेत्र प्रदर्शन"" के लिए अपनी रेटिंग घटा दी थी स्टॉक अगले एक से या दो तिमाहियों के दौरान ऊपर है सीमित है.","कैमरून डॉक्सन ने नैशनल बैंक वित्तीय के साथ एक सर्वे लिया, अपने रेटिंग से ""बाहर से"" गुरुवार के विचार के साथ कि काठ अगले एक या दो जगहों पर सीमित है।","Cameron Doerksen, an analyst with National Bank Financial, lowered his rating to ""sector perform"" from ""outperform"" on Thursday with the view that the stock has limited upside over the next one or two quarters.",<extra_id_0>
"""While the weaker aircraft deliveries were mostly anticipated, we are clearly disappointed by the margin performance in transportation,"" Doerksen said in a client note.","""कमजोर विमान  डिलीवरी ज्यादातर प्रत्याशित रहे थे, हम स्पष्ट रूप से परिवहन में मार्जिन प्रदर्शन से निराश हैं, ""डोरसेन ने एक क्लाइंट नोट में कहा.","""जब कमज़ोर विमानों के बचाव की प्रतीक्षा कर रहे थे, हम परिवहन में हाशिया प्रदर्शन द्वारा स्पष्ट रूप से निराश कर रहे हैं,"" Derkon ने एक ग्राहक नोट में कहा.","""While the weaker aircraft deliveries were mostly anticipated, we are clearly disappointed by the margin performance in transportation,"" Doerksen said in a client note.",<extra_id_0>.
We believe that Bombardier will receive new orders for the CSeries as the flight test program progresses.,हमें उड़ान के परीक्षण कार्यक्रम की प्रगति के रूप में Bombardier CSeries के लिए नया आदेश प्राप्त होगा.,हम विश्वास करते हैं कि बमबारर को Creries के लिए नए आदेश प्राप्त होंगे... ... उड़ान परीक्षण कार्यक्रम फिर से शुरू होता है.,We believe that Bombardier will receive new orders for the CSeries as the flight test program progresses.,<extra_id_0>
"However, if no new orders are announced in the coming months, we suspect that the market will become more skeptical of the program.","हालांकि, अगर कोई भी नए आदेश आने वाले महीनों में घोषणा नहीं कर रहे हैं, संदेह है कि बाजार कार्यक्रम का सशंकित हो जाएगा.","लेकिन, अगर आनेवाले महीनों में कोई नया आदेश घोषित नहीं किया जाता, तो हमें शक होता है कि बाजार कार्यक्रम के बारे में ज़्यादा संदेही बन जाएगा ।","However, if no new orders are announced in the coming months, we suspect that the market will become more skeptical of the program.",<extra_id_0>.
Bombardier hopes the CSeries aircraft family can catapult it into the low end of a market now dominated by Boeing and Airbus.,Bombardier को उम्मीद है विमान परिवार अब बोइंग और एयरबस के वर्चस्व वाले बाजार के कम अंत में इसे कटपुलट कर सकते हैं.,बमवर्षकों उम्मीद करते हैं कि CSeries विमान परिवार उसे एक बाजार के कम छोर में ले जा सकते हैं अब हवा और एयरब्स द्वारा नियंत्रित एक बाजार के कम छोर पर.,Bombardier hopes the CSeries aircraft family can catapult it into the low end of a market now dominated by Boeing and Airbus.,<extra_id_0>
The first test plane was unveiled in March and took flight for the first time in September after months of delays.,पहला परीक्षण विमान मार्च में अनावरण किया और देरी के महीने के बाद सितंबर में पहली बार के लिए उड़ान किया गया था.,मार्च में पहला परीक्षण विमान शुरू किया गया और सितम्बर में देरी के महीनों में पहली बार उड़ान भरने के लिए चला गया ।,The first test plane was unveiled in March and took flight for the first time in September after months of delays.,<extra_id_0>
But firm orders for the CSeries are moderate so far at 177 as potential buyers wait for flight test results to validate the company's claims about the new jetliner's fuel efficiency and cost savings potential.,संभावित क्रेता नए जेटलाइनर ईंधन दक्षता और संभावित लागत बचत के बारे में कंपनी के दावों को मान्य करने के लिए उड़ान के परीक्षण के परिणाम के लिए इंतजार करते हैं लेकिन जैसा कि CSeries के लिए पक्का आर्डर 177 तक के मध्यमहैं.,लेकिन CSeries के लिए दृढ़ आदेश इतने हद तक सीमित हैं कि संभव लाभों की प्रतीक्षा में हैं उड़ान परीक्षण के लिए कंपनी के प्रयास परिणाम नए जेट ईंधन विमान और बचत क्षमता के बारे में वैध दावा करने के लिए।,But firm orders for the CSeries are moderate so far at 177 as potential buyers wait for flight test results to validate the company's claims about the new jetliner's fuel efficiency and cost savings potential.,<extra_id_0>
There are currently 403 total orders and commitments with 15 customers and operators.,15 ग्राहकों के और के ऑपरेटरों के साथ 403 सम्पूर्ण आर्डर और प्रतिबद्धता उपलब्ध है.,वर्तमान में ४०३ कुल आदेश हैं और १५ ग्राहक और ऑपरेटर के साथ प्रतिज्ञा करते हैं ।,There are currently 403 total orders and commitments with 15 customers and operators.,<extra_id_0>
Chief Executive Officer Pierre Beaudoin was confident Bombardier would meet its 300 firm order target by the time the first jet is put into commercial use.,मुख्य कार्यकारी अधिकारी पियरे बौडोइन को विश्वास था Bombardier पहले जेट वाणिज्यिक उपयोग में लाने के समय से अपने 300 फर्म आर्डर लक्ष्य को पूरा करेगा.,प्रथम जेट प्रयोग में रखा जाता है जब तक कि पहला जेट व्यापार में डाला जाता है ।,Chief Executive Officer Pierre Beaudoin was confident Bombardier would meet its 300 firm order target by the time the first jet is put into commercial use.,<extra_id_0>
Executives also reassured analysts and media on Thursday the program was progressing according to schedule.,अधिकारियोंने विश्लेषकों और गुरुवार को मीडिया को आश्वस्त किया कि कार्यक्रम अनुसूची के अनुसार चल रहा था.,"इसके अलावा, गुरुवार के कार्यक्रम में दी गयी जानकारी और मीडिया को भी यकीन दिलाया गया कि वे वक्‍त के हिसाब से काम कर रहे हैं ।",Executives also reassured analysts and media on Thursday the program was progressing according to schedule.,<extra_id_0>.
"""The test plane didn't stay on the ground longer than anticipated,"" Beaudoin said in a conference call, adding that ground tests and software updates were scheduled during the plane's downtime.","""परीक्षण विमान पूर्वानुमानित तुलना में लंबे समय तक भूमि पर रह था,"" बौडोइन ने एक कॉन्फ्रेंस कॉल में कहा, इसे भी जोड़कर भूमि परीक्षण और सॉफ्टवेयर अपडेट विमान के अन्तराल के दौरान निर्धारित किया गया .",""" परीक्षण विमान की उम्मीद से अधिक समय तक भूमि पर नहीं रहा,"" बेकाडोन ने एक सम्मेलन कॉल में कहा, और जोड़ दिया कि जमीन जाँच और सॉफ्टवेयर अद्यतन विमान के नीचे समय पर अनुसूचित किया गया था.",The test plane didn't stay on the ground longer than anticipated,<extra_id_0> -
Every manufacturer schedules it in a different way.,हर निर्माता एक अलग तरीके से शेड्यूल बनाते हैं.,हर निर्माता इसे अलग तरीके से निर्धारित करता है.,Every manufacturer schedules it in a different way.,<extra_id_0>
We had decided to do a first flight and to do an update period and that's what we have done.,हमने एक पहली उड़ान करने के लिए और एक अद्यतन अवधि करने का फैसला किया था है और कहा कि हमने क्या किया है.,हम एक पहली उड़ान करने और एक अद्यतन अवधि करने के लिए फैसला किया था और कि हम क्या किया है.,We had decided to do a first flight,<extra_id_0>
That will happen all through the flight program.,यही कारण है कि उड़ान कार्यक्रम के माध्यम से सब हो जाएगा.,कि सभी उड़ान कार्यक्रम के माध्यम से हो जाएगा.,That will happen all through the flight program.,<extra_id_0>
"The second of five test planes is expected to take flight in the coming weeks, with the remainder following shortly after, the company said.","पांच परीक्षण विमानों के दूसरे शेष भाग कुछ ही समय बाद निम्नलिखित के साथ, आने वाले सप्ताहों में उड़ान भरने की उम्मीद है, कंपनी ने कहा","पाँच परीक्षण विमानों में से दूसरा को आने वाले हफ्तों में उड़ान भरने की अपेक्षा की जाती है, साथ ही अगले कुछ ही समय बाद, कंपनी ने कहा ।","The second of five test planes is expected to take flight in the coming weeks, with the remainder following shortly after, the company said.",<extra_id_0>
"Still, analysts are skeptical the first customer can begin operating a CSeries plane 12 months after its maiden flight.","फिर भी, विश्लेषकों का मानना है संदेह कर रहे हैं ग्राहक पहले 12 महीनों में अपनी पहली उड़ान के बाद एक CSeries विमान परिचालन शुरू कर सकते हैं .","फिर भी, विश्‍वास करनेवाले संदेह करते हैं कि पहला ग्राहक अपनी लड़की की उड़ान के 12 महीने बाद विमान विमान पर काम शुरू कर सकता है ।","Still, analysts are skeptical the first customer can begin operating a CSeries plane 12 months after its maiden flight.",<extra_id_0>
Bombardier said it was evaluating the entry-into-service (EIS) schedule and will provide an update in the next few months.,Bombardier ने कहा है कि यह प्रवेश में सेवा (EIS) अनुसूची का मूल्यांकन किया गया और अगले कुछ महीनों में एक अद्यतन प्रदान करेगा.,बर्डर ने कहा कि यह प्रविष्टि-ओ-कोज़ (EIS) योजना स्थापित कर रहा था और अगले कुछ महीनों में एक अद्यतन प्रदान करेगा।,Bombardier said it was evaluating the entry-into-service (EIS) schedule and will provide an update in the next few months.,<extra_id_0>
"""This slow pace of flight testing - although in line with Bombardier's internal schedule apparently - reinforces our view that entry-into-service will be pushed to Q1/15,"" said Doerksen.","""उड़ान परीक्षण की यह धीमी गति  - हालांकि Bombardier के आंतरिक अनुसूची के साथ लाइन में  - हमारे विचार को पुष्ट करताहै किप्रवेश में सेवा को Q1/15 में  धकेल दिया जाएगा ,"" डोरसेन ने कहा .","""हवा जाँच की यह धीमी गति - हालांकि बमों के आंतरिक अनुसूचन के साथ पंक्ति में - हमारे दृश्य को मजबूत करता है कि प्रविष्टि-कांत्र Q1/15 में ढकेल दिया जाएगा"" ने कहा.","""This slow pace of flight testing - although in line with Bombardier's internal schedule apparently - reinforces our view that entry-into-service will be pushed to Q1/15,"" said Doerksen.",<extra_id_0> to Q1/15
"For the third quarter ended September 30, Bombardier's net profit fell to $147 million, or 8 cents per share, from $172 million, or 9 cents per share a year earlier.","30 सितंबर को समाप्त तीसरी तिमाही के लिए, Bombardier के शुद्ध लाभ एक साल पहले $ $147मिलियन, या प्रति शेयर 8 सेंट, $172मिलियन, या प्रति शेयर 9 सेंट तक गिर गया.","तीसरे चौथाई के लिए 30 सितंबर, बमों के जाल के लाभ के लिए 10 करोड़ डॉलर, या 8 सेंट हर साल पहले हिस्सा लेते हैं।","Bombardier's net profit fell to $147 million, or 8 cents per share, from $172 million, or 9 cents per share a year earlier",<extra_id_0>.
Adjusted earnings per share were unchanged at 9 cents.,प्रति शेयर समायोजित आय 9 सेंट पर अपरिवर्तित रहे.,प्रति भाग लेने की कमाई ९ सेंट्स पर अटूट रूप से की गयी थी ।,Adjusted earnings per share were unchanged at 9 cents.,<extra_id_0>
Revenue dipped marginally to $4.1 billion from $4.2 billion.,राजस्व $4.2 बिलियन डॉलर से $ 4.1 बिलियन मामूली डूबा.,$१ अरब से $१ अरब डॉलर के लिए सौ डॉलर में डुबोए.,Revenue dipped marginally to $4.1 billion from $4.2 billion.,<extra_id_0>
"Analysts had expected earnings of 10 cents per share and revenue of $4.56 billion, according to Thomson Reuters I/B/E/S.","विश्लेषकों थॉमसन रॉयटर्स I/B/E/S के अनुसार, 10 प्रति शेयर सेंट और $4.56 बिलियन के राजस्व की आय मिलने की उम्मीद थी.","अनुमान लगाया गया था कि 10 सेंटों की कमाई प्रति भाग और राजस्व का भुगतान होगा.56 अरब, थॉमसमसन I/B/E/S के अनुसार.","Analysts had expected earnings of 10 cents per share and revenue of $4.56 billion, according to Thomson Reuters I/B/E/S.",<extra_id_0> -
"The world's fourth-largest planemaker said it delivered 45 aircraft during the quarter, down from 57 a year earlier.","दुनिया की चौथी सबसे बड़ी विमान निर्माता ने कहा कि एक वर्ष पहले 57 से नीचे, तिमाही के दौरान 45 विमान सुपुर्द किया गया","दुनिया के चौथे बड़े विमान निर्माता ने कहा कि यह एक साल पहले, 57 से 45 विमानों को दे दिया था।","The world's fourth-largest planemaker said it delivered 45 aircraft during the quarter, down from 57 a year earlier.",<extra_id_0>
"Net orders fell to 26 aircraft, from 83.",शुद्ध आदेश 83 से 26 विमान तक गिर गया.,29 से 26 विमानों तक न जाने उनके आदेश टूट गए.,"Net orders fell to 26 aircraft, from 83.",<extra_id_0>
"The backlog in the aerospace division was $32.9 billion as of September 30, unchanged from December 31.","एयरोस्पेस डिवीजन में बैकलॉग 30 सितम्बर पर  $32.9 बिलियन था,31 दिसंबर से कोई बदलाव नहीं.",दिसंबर 31 से 30 अरब के सितंबर महीने के दौरान अमरीका में एक बार फिर से प्रचार काम में हिस्सा लेने के लिए 30 अरब लोग आए थे ।,"The backlog in the aerospace division was $32.9 billion as of September 30, unchanged from December 31.",<extra_id_0>
"""In aerospace, results were in line with our guidance, but the low order intake and overall market conditions were a disappointment,"" Beaudoin said.","""एयरोस्पेस, परिणाम हमारे मार्गदर्शन के साथ लाइन में थे, लेकिन निम्न क्रम के सेवन और कुल मिलाकर बाजार की स्थिति एक निराशा रहे थे,"" बौडोइन ने कहा .","""एक फार्म में, परिणाम हमारे मार्गदर्शन के साथ पंक्ति में थे, लेकिन कम आदेश लेने और कुल बाजार की स्थिति एक निराशा थी,"" बेनाडो ने कहा.","""In aerospace, results were in line with our guidance, but the low order intake and overall market conditions were a disappointment,"" Beaudoin said.",<extra_id_0>.
Aerospace revenue fell 13 percent to $2 billion.,एयरोस्पेस राजस्व में 2 अरब डॉलर में 13 प्रतिशत की गिरावट.,Aerrol राजस्व 13 प्रतिशत डॉलर डॉलर $200 अरब तक गिर गया.,Aerospace revenue fell 13 percent to $2 billion.,<extra_id_0>
"Bombardier, the world's largest trainmaker, said revenue in that division rose nearly 11 percent to $2.1 billion.","Bombardier ने कहा कि दुनिया की सबसे बड़ी ट्रेन निर्माता, डिवीजन में राजस्व में $2.1 बिलियन के लिए लगभग 11 प्रतिशत की वृद्धि हुई थी.","बम, दुनिया का सबसे बड़ा ट्रेन निर्माता, ने कहा कि उस विभाजन में लगभग 11 प्रतिशत $1 अरब हो गए.","Bombardier, the world's largest trainmaker, said revenue in that division rose nearly 11 percent to $2.1 billion.",<extra_id_0>
"The order backlog in the transportation unit was $32.6 billion as of September 30, up marginally from December 31.","परिवहन इकाई में आदेश बैकलॉग रहे थे $32.6 बिलियन के  लगभग 30 सितंबर के, ऊपर मामूली 31 दिसंबर से.",इस जहाज़ में 30 अरब से भी ज़्यादा लोग सफर कर रहे थे ।,"The order backlog in the transportation unit was $32.6 billion as of September 30, up marginally from December 31.",<extra_id_0>
The transportation division's margins were affected by execution issues in a few large contracts.,परिवहन प्रभाग के मार्जिन में कुछ बड़े अनुबंध में भी निष्पादन के मुद्दों से प्रभावित हुए थे.,परिवहन विभाजन के हाशिया कुछ बड़े अनुबंधों में हत्या के कारण प्रभावित हुए.,The transportation division's margins were affected by execution issues in a few large contracts.,<extra_id_0>
Executives said new guidance would be provided in the fourth quarter.,कार्यकारी अधिकारियों ने कहा कि नए मार्गदर्शन चौथी तिमाही में प्रदान किए जाएंगे.,चलाएँ कहा जाता है कि चौथे चौथाई में नए मार्गदर्शन प्रदान किया जाएगा।,Executives said new guidance would be provided in the fourth quarter.,<extra_id_0>
"Shares of Bombardier, which also announced that Google Inc Chief Financial Officer Patrick Pichette would join the board, were down 8.5 percent at C$4.83 in mid afternoon trading on Thursday.","Bombardier के शेयरों में , जिसमें Google Inc के मुख्य वित्तीय अधिकारी पैट्रिक पिचेट बोर्ड की शामिल होने   घोषणा की, गुरुवार को मध्य दोपहर के कारोबार में  भी C $ 4.83 पर नीचे 8.5 के प्रतिशत थे.","सन्‌ 875 के आस - पास, गुरुवार की दोपहर के व्यापार में 85 प्रतिशत लोगों का इंटरव्यू लिया गया ।","Shares of Bombardier, which also announced that Google Inc Chief Financial Officer Patrick Pichette would join the board, were down 8.5 percent at C$4.83 in mid afternoon trading on Thursday.",<extra_id_0>.
"Brazil's Embraer SA, the world's third-largest commercial planemaker and Bombardier's closest rival, reported a 10 percent fall in quarterly profit on Thursday.","ब्राजील के एमब्रेयर एसए, दुनिया के तीसरे सबसे बड़े व्यावसायिक विमान निर्माता और Bombardier के निकटतम प्रतिद्वंद्वी, गुरुवार को तिमाही लाभ में 10 प्रतिशत की गिरावट की सूचना दी.","ब्राज़ील के एमब्राअर, दुनिया का तीसरा बड़ा व्यापार विमान निर्माता और बर्ड के सबसे नज़दीकी विरोधी, ने रिपोर्ट की कि गुरुवार पर दस प्रतिशत लाभ में गिरता है।","Brazil's Embraer SA, the world's third-largest commercial planemaker and Bombardier's closest rival, reported a 10 percent fall in quarterly profit on Thursday.",<extra_id_0> -
New research has revealed that we work with complete honesty and dedication in the morning hours.,नई रिसर्च से यह पता चला है कि हम सुबह के समय पूरी ईमानदारी और समर्पण के साथ काम करते हैं।,नए शोध ने प्रकट किया है कि हम सुबह के घंटों में ईमानदारी और समर्पण के साथ काम करते हैं ।,New research has revealed that we work with complete honesty and dedication in the morning hours.,<extra_id_0>
Thoughts of lying to anyone and theft or cheating someone do not enter our heads.,किसी से झूठ नहीं बोलते और चोरी करने या धोखा देने जैसा ख्याल मन में नहीं आता।,किसी के साथ झूठ बोलने और चोरी करने के विचार या किसी को धोखा देने के विचार हमारे सिर में प्रवेश नहीं करते ।,Thoughts of lying to anyone and theft or cheating someone do not enter our heads.,<extra_id_0>
"But as the evening comes, our minds change and we set aside our principles and we go against the accepted norms.",लेकिन शाम होते ही हमारा मन बदल जाता हैं और हम आदर्श को एक तरफ रख नियम के खिलाफ चलने लगते है।,"लेकिन जैसे ही शाम आती है, हमारे मन बदल जाते हैं और हम अपने सिद्धान्तों को अलग रखते हैं और हम स्वीकृत विम के विरुद्ध जाते हैं ।","But as the evening comes, our minds change and we set aside our principles and we go against the accepted norms.",<extra_id_0>
"In research carried out by Harvard University and the David Axle School of Business, Utah, researchers have revealed some interesting facts.",हार्वर्ड यूनिवर्सिटी और यूटॉ के डेविड एक्लस स्कूल ऑफ बिजनेस के इस रिसर्च में शोधकर्ताओं ने कई रोचक तथ्य दिए हैं।,इस बात को लेकर खोजकर्ताओं ने कुछ दिलचस्प तथ्य बताए हैं ।,In research carried out by Harvard University and the David Axle School of Business,<extra_id_0>
"According to researchers, while we don't have work pressure in the morning we attach importance to moral values, but as the evening sets in, due to fatigue or extra pressure our honesty declines.","रिसर्चर्स के मुताबिक, सुबह काम का तनाव न होते हुए हम नैतिक मूल्यों को तरजीह देते हैं, लेकिन शाम होते ही थकान या अधिक प्रेशर की वजह से ईमानदारी घट जाती है।","खोजकर्ताओं के अनुसार, जबकि हम सुबह में काम नहीं करते हैं हम नैतिक मूल्यों को महत्त्व देते हैं, लेकिन जैसे शाम को होता है, थकान या हमारी ईमानदारी कम होने के कारण।","According to researchers, while we don't have work pressure in the morning we attach importance to moral values, but as the evening sets in, due to fatigue or extra pressure our honesty declines.",<extra_id_0>.
To test this researchers did two experiments.,इसके लिए रिसर्चर्स ने दो प्रयोग किए।,इस खोजकर्ताओं की जाँच करने के लिए दो परीक्षण किए गए ।,To test this researchers did two experiments.,<extra_id_0>
They asked some subjects to count the number of dots on a computer screen.,उन्होंने कुछ लोगों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या बताने को कहा।,उन्होंने कुछ विषयों से पूछा कि कंप्यूटर स्क्रीन पर बिन्दुओं की संख्या गिनें.,They asked some subjects to count the number of dots on a computer screen.,<extra_id_0>
"For example, subjects had to say if the dots were more on the right or left-hand side.","मसलन, लोगों को यह बताना था कि बिंदु बाईं तरफ अधिक है या दाईं तरफ।","उदाहरण के लिए, विषयों को कहना था कि यदि बिन्दु दाएँ या बाएँ हाथ की ओर होते तो ज्यादा होते.","For example, subjects had to say if the dots were more on the right or left-hand side.",<extra_id_0>
Participants were then told that if they give the wrong answer rather than the correct answer they would be given money.,हिस्सा लेने वालों को कहा गया कि अगर वे सही जवाब के बजाए गलत जवाब देंगे तो उन्हें पैसे दिए जाएंगे।,"फिर उससे कहा गया कि अगर वे सही जवाब न दें, तो उन्हें पैसे दिए जाएँगे ।",Participants were then told that if they give the wrong answer rather than the correct answer they would be given money.,<extra_id_0>
This experiment shows that those who took part in the experiment in the morning between 8 and 12 did not make any mistakes and they gave the correct answers.,इस एक्सपेरिमेंट में देखा गया कि सुबह 8 से 12 के बीच जिन लोगों पर प्रयोग किया गया उन्होंने कोई गलती नहीं की और सही जवाब दिया।,"यह प्रयोग दिखाता है कि जो लोग सुबह 8 से 12 के बीच प्रयोग में भाग लेते थे, उन्होंने कोई ग़लती नहीं की और उन्होंने सही जवाब दिया ।",This experiment shows that those who took part in the experiment in the morning between 8 and 12 did not make any mistakes and they gave the correct answers.,<extra_id_0>
"At the same time, those who took part in the experiment between 12 noon and 6pm set aside their morals and intentionally gave wrong answers.",वहीं दोपहर 12 से शाम 6 बजे के बीच लोगों पर प्रयोग करते समय पाया गया कि उन्होंने अपने उसूलों को ताक पर रखकर जानबूझकर गलत जवाब दिए।,"साथ ही, जिन लोगों ने 12 घंटे और 6 बजे का परीक्षण किया, उन्होंने अपने नैतिक स्तरों को छोड़ दिया और जानबूझकर गलत जवाब दिए ।","At the same time, those who took part in the experiment between 12 noon and 6pm set aside their morals and intentionally gave wrong answers.",<extra_id_0>.
"Researchers have succeeded in proving that in the morning the greed for money does not affect our honesty, but in the evening we chose to ignore morality.","इससे रिसर्चर्स यह साबित करने में कामयाब हो गए कि सुबह पैसों के लालच से हमारी ईमानदारी पर कोई फर्क नहीं पड़ता, लेकिन शाम होते ही हम नैतिकता को तवज्जो देना बंद कर देते हैं।","यह साबित करने में खोजकर्ताओं ने कामयाब हुए हैं कि सुबह - सुबह पैसे का लालच हमारी ईमानदारी पर असर नहीं करता, लेकिन शाम को हमने नैतिकता को नज़रअंदाज़ करने का चुनाव किया ।","Researchers have succeeded in proving that in the morning the greed for money does not affect our honesty, but in the evening we chose to ignore morality.",<extra_id_0>
The research is published in the current issue of Psychological Science.,यह रिसर्च साइकोलॉजिकल साइंस के ताजा अंक में प्रकाशित हुई है।,विज्ञान - विज्ञान के मौजूदा अंक में खोज की गयी है ।,The research is published in the current issue of Psychological Science.,<extra_id_0>
"After the robbery, the robbers left waving pistols.",लूटपाट के बाद बदमाश तमंचे लहराते हुए फरार हो गए।,"चोरी करने के बाद, डाकुओं ने भीड़ - भाड़ियों को छोड़ दिया ।","After the robbery, the robbers left waving pistols.",<extra_id_0>
Relatives admitted the wounded to the hospital in a critical condition.,परिजनों ने घायल को गंभीर अवस्था में अस्पताल में भर्ती कराया है।,रिश्‍तेदारों ने एक गंभीर स्थिति में अस्पताल में घायल व्यक्‍ति को स्वीकार किया ।,Relatives admitted the wounded to the hospital in a critical condition,<extra_id_0>
"Sunder s/o Sohanveer, a resident of Madhi Village, had recently retired from the post of junior engineer from the Electrical Department.",मढ़ी गांव निवासी सुंदर पुत्र सोहनवीर अभी हाल ही में विद्युत विभाग से अवर अभियंता के पद से सेवानिवृत्त हुए हैं।,"कुछ ही समय बाद, एक बार फिर, एक बार फिर, एक बार फिर, एक बार फिर, दूसरे देश के एक देश में रहनेवाले भाई - बहनों ने एक - के - बाद - एक अपना घर बेच दिया ।","Sunder s/o Sohanveer, a resident of Madhi Village, had recently retired from the post of junior engineer from the Electrical Department.",<extra_id_0>
On Wednesday he was returning home on his bicycle after withdrawing 44 thousand rupees from the Bhola branch of the Syndicate Bank.,बुधवार को वह सिंडिकेट बैंक की भोला स्थित शाखा से 44 हजार रुपये निकालकर साइकिल से घर लौट रहे थे।,बुधवार को वह अपनी साइकिल पर अपनी साइकिल पर वापस आ रहा था ।,He was arrested after withdrawing 44 thousand rupees from the Bhola branch of the Syndicate Bank.,<extra_id_0>
"On the Bhola to Marhi road, two men riding a bike came from behind and robbed Sundar and took the 44 thousand in cash.",भोला-मढ़ी मार्ग पर पीछे से आए बाइक सवार दो बदमाशों ने सुंदर से 44 हजार की नकदी लूट ली।,"बीहोला सड़क पर, दो पुरुष साइकिल से साइकिल चलाते और लूटते और लूटते और 44 हज़ार को नकदी में ले गए ।","On the Bhola to Marhi road, two men riding a bike came from behind and robbed Sundar and took the 44 thousand in cash.",<extra_id_0>
"When Sunder protested they shot him in the stomach, wounding him.","सुंदर ने विरोध किया तो बदमाशों ने उनके पेट में गोली मार दी ,जिससे वह घायल हो गए।","जब विरोधियों ने उसे पेट में गोली मार दी, तो उसे चोट लगी ।","When Sunder protested they shot him in the stomach, wounding him.",<extra_id_0>
"Upon hearing the news, family members and villagers rushed him to the hospital in Meerut in a serious condition.",जानकारी पर पहुंचे परिजनों और ग्रामीणों ने उन्हें गंभीर हालत में मेरठ के अस्पताल में भर्ती कराया।,"यह खबर सुनने के बाद, परिवार के लोग और गाँव के लोग उसे अस्पताल ले गए ।","Upon hearing the news, family members and villagers rushed him to the hospital in Meerut in a serious condition.",<extra_id_0>.
No report was filed until the news was reported.,समाचार लिखे जाने तक मामले में कोई रिपोर्ट दर्ज नहीं हो सकी थी।,समाचार रिपोर्ट किए जाने तक कोई रिपोर्ट फ़ाइल नहीं की गई.,No report was filed until the news was reported.,<extra_id_0>
"Note that three days ago Jasveer, a resident of Ammanulapur, was shot and injured while returning home from the same bank by two robbers.",बता दें कि तीन दिन पूर्व भी इसी बैंक से घर लौटते समय अम्मानुलापुर निवासी जसवीर को बाइक सवार दो बदमाशों ने गोली मारकर घायल कर दिया था।,"ध्यान दीजिए कि तीन दिन पहले, रँगाधिया के निवासी, दो डाकुओं ने एक ही बैंक से घर लौटने के दौरान गोली मार दी और घायल हो गए ।","Note that three days ago Jasveer, a resident of Ammanulapur, was shot and injured while returning home from the same bank by two robbers.",<extra_id_0>
The police could not reveal any information about many more similar recent cases besides these.,पुलिस इनके अलावा हाल ही में हुए कई और मामलों का खुलासा भी नहीं कर पाई है।,"इसके अलावा, पुलिस ने हाल ही के कई मामलों के बारे में और भी कुछ जानकारी नहीं दी ।",The police could not reveal any information about many more similar recent cases besides these.,<extra_id_0>
S/o Sumer Singh Yadav claimed that the details of the incident would be revealed soon.,"इधर, एसओ सुमेर सिंह यादव ने दावा किया कि घटनाओं का जल्द खुलासा कर दिया जाएगा।",एस/ओ सुज सिंह यादा ने दावा किया कि इस घटना की जानकारी जल्द ही प्रकट हो जाएगी.,S/o Sumer Singh Yadav claimed that the details of the incident would be revealed soon.,<extra_id_0>
When the hotel employees protested the fight began.,होटल कर्मियों ने विरोध किया तो मारपीट शुरू कर दी।,जब होटल के कर्मचारी लड़ाई का विरोध करने लगे ।,When the hotel employees protested the fight began.,<extra_id_0>
"R.K. Singh, the hotel owner's younger brother came to mediate, the MP's drunken son started a scuffle with him.",बीच बचाव करने आए होटल मालिक के छोटे भाई आरके सिंह के साथ नशे में धुत सांसद के बेटे ने हाथापाई शुरू कर दी।,"R.K. सिंह, होटल मालिक का छोटा भाई मीडियाट के पास आया, MP के बेटे ने उसके साथ एक दु.","R.K. Singh, the hotel owner's younger brother came to mediate, the MP's drunken son started a scuffle with him.",<extra_id_0>
"In the meantime, a lot of people gathered there.",इसी बीच वहां और कई लोग आ गए।,"इस बीच, बहुत से लोग वहाँ इकट्ठा हुए ।","In the meantime, a lot of people gathered there.",<extra_id_0>
When an attempt was made to grab the assaulting youth he fired the revolver.,मारपीट कर रहे युवक को पकड़ने की कोशिश की तो उसने रिवाल्वर से फायरिंग कर दी।,"जब युवा पर हमला करने के लिए एक प्रयास किया गया, तो उसने रोंगटे खड़े कर दिए ।",When an attempt was made to grab the assaulting youth he fired the revolver.,<extra_id_0>
